Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,phishing,password,risk,device,attention,security,impulsiveness,trust,urgency,attention_extra,impulse_risk,trust_risk,awareness_gap,total_score,BVI,risk_category
1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1.2,1.4,1.2,1.2,1.4,1,1,1.333333333,1,2,1,1.6,-0.4,37,7.777777778,Low
2,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1.4,1.2,1.4,1.4,1.4,1.4,1,1.333333333,1,1.5,1,1.866666667,0,41,12.22222222,Low
2,4,3,3,3,2,4,2,1,3,4,3,3,2,3,2,2,2,4,1,3,1,2,2,1,3,2,1,3,4,3,2.4,3,2.2,1.8,2.6,3.666666667,2.333333333,3.5,2,12.83333333,7,0.8,75,50,Medium
1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,1.2,1.2,1.4,1.2,1.2,1.6,1,1,1,1.5,1,1.2,0.4,39,10,Low
2,2,2,2,3,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2.2,1,1.2,1.6,1.2,1.4,1.333333333,2,1.5,1,2,4.4,0.2,43,14.44444444,Low
3,4,1,1,3,1,4,1,4,1,4,2,1,4,1,2,2,1,4,3,1,4,1,1,1,4,3,1,1,1,2.4,2.2,2.4,2.4,1.6,2,3,1.666666667,2.5,1,7.5,4,0.4,65,38.88888889,Medium
1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,2,1,2,1,2,1,2,1.6,1.2,1.2,1.4,1.6,1.6,1.666666667,1.333333333,2,2,3.333333333,2.133333333,0,43,14.44444444,Low
3,4,3,2,2,3,1,3,3,3,3,3,3,2,3,2,3,1,4,4,3,3,3,2,3,2,2,4,3,2,2.8,2.6,2.8,2.8,2.8,2.6,3.333333333,2.666666667,3,3,10,7.466666667,-0.2,82,57.77777778,Medium
2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,1.6,1.4,1.2,1.8,1.4,1.2,1.333333333,1.333333333,1,1.5,1.333333333,2.133333333,-0.2,43,14.44444444,Low
3,2,4,2,3,2,1,1,3,4,4,1,1,3,2,3,2,3,4,2,2,3,3,2,3,2,1,4,2,2,2.8,2.2,2.2,2.8,2.6,2.2,4,2,4,2.5,16,5.6,-0.4,74,48.88888889,Medium
2,2,2,2,2,1,1,1,1,1,2,2,2,1,3,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,2,1.4,1.4,1,1.666666667,2,2,1,3.333333333,4,-0.4,44,15.55555556,Low
1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1.4,1.4,1.2,1.2,1.4,1.4,1.333333333,1,1.5,1.5,2,1.4,0,40,11.11111111,Low
2,1,2,3,4,3,2,3,2,3,2,4,1,4,2,2,4,2,2,2,3,2,1,2,4,3,3,3,2,4,2.4,2.6,2.6,2.4,2.4,3,2,1.666666667,2,2.5,4,4,0.6,77,52.22222222,Medium
1,3,4,3,3,3,4,4,3,4,3,3,3,4,4,4,2,2,3,3,2,4,2,2,4,4,2,2,3,4,2.8,3.6,3.4,2.8,2.8,3,3.333333333,2,3.5,3,11.66666667,5.6,0.2,92,68.88888889,High
4,4,3,3,4,2,2,3,3,3,3,3,4,3,4,1,3,2,2,2,3,4,2,3,3,3,4,3,4,3,3.6,2.6,3.4,2,3,3.4,2.666666667,3.666666667,3,3.5,8,13.2,0.4,90,66.66666667,High
1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,3,2,1,1,1,2,1,1,1,1.4,1.6,1.6,1.6,1.2,1.666666667,1.666666667,1.5,1,2.5,1.666666667,-0.4,42,13.33333333,Low
1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2,1.4,1,1.2,1.6,1.2,1.4,1.666666667,1.333333333,2,1.5,3.333333333,1.866666667,0.2,39,10,Low
3,3,4,3,3,3,3,3,4,1,1,1,2,2,1,1,2,4,4,2,2,1,1,2,1,3,1,2,3,3,3.2,2.8,1.4,2.6,1.4,2.4,3,2.333333333,2.5,1.5,7.5,7.466666667,1,69,43.33333333,Medium
