Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,phishing,password,risk,device,attention,security,impulsiveness,trust,urgency,attention_extra,impulse_risk,trust_risk,awareness_gap,total_score,BVI,risk_category
3,2,4,3,2,3,2,2,2,3,4,3,3,4,2,1,4,2,2,2,2,4,2,2,1,4,4,4,3,2,2.8,2.4,3.2,2.2,2.2,3.4,3.3333333333333335,2.6666666666666665,4.0,2.0,13.333333333333334,7.466666666666666,1.1999999999999997,81,56.666666666666664,Medium
3,4,3,3,4,4,2,2,2,3,4,3,3,4,2,1,4,2,2,2,4,4,2,2,1,4,1,3,3,2,3.4,2.6,3.2,2.2,2.6,2.6,3.0,2.6666666666666665,3.5,2.0,10.5,9.066666666666666,0.0,83,58.88888888888889,Medium
2,2,3,2,2,1,2,2,2,3,4,3,2,4,2,1,4,2,2,2,2,4,2,2,1,3,4,4,3,2,2.2,2.0,3.0,2.2,2.2,3.2,3.0,2.0,3.5,2.0,10.5,4.4,1.0,74,48.888888888888886,Medium
2,1,4,1,1,1,2,2,2,3,4,2,3,4,2,1,2,2,2,2,2,4,2,2,1,3,1,3,3,2,1.8,2.0,3.0,1.8,2.2,2.4,3.3333333333333335,2.3333333333333335,4.0,2.0,13.333333333333334,4.2,0.19999999999999973,66,40.0,Medium
1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1,2,1.2,1.0,1.4,1.6,1.4,1.8,1.3333333333333333,1.0,1.5,1.5,2.0,1.2,0.40000000000000013,42,13.333333333333334,Low
1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1.0,1.4,1.6,1.4,1.4,1.4,1.3333333333333333,1.0,1.5,1.0,2.0,1.0,0.0,41,12.222222222222221,Low
2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1.6,1.2,1.2,1.4,1.4,1.4,1.0,1.6666666666666667,1.0,1.5,1.0,2.666666666666667,0.0,41,12.222222222222221,Low
1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1.4,1.2,1.2,1.2,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.4,0.3999999999999999,37,7.777777777777778,Low
2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1.4,1.2,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.5999999999999999,0.0,34,4.444444444444445,Low
2,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1.4,1.2,1.4,1.4,1.4,1.4,1.0,1.3333333333333333,1.0,1.5,1.0,1.8666666666666665,0.0,41,12.222222222222221,Low
2,2,2,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,2,1,2,1.6,1.6,1.2,1.2,1.6,1.4,1.3333333333333333,1.6666666666666667,1.5,1.5,2.0,2.666666666666667,-0.20000000000000018,43,14.444444444444443,Low
2,1,1,1,2,1,1,1,2,2,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1.4,1.4,1.4,1.6,1.2,1.0,1.0,2.0,1.0,1.5,1.0,2.8,-0.19999999999999996,40,11.11111111111111,Low
2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1.2,1.4,1.4,1.2,1.4,1.2,1.0,1.6666666666666667,1.0,1.5,1.0,2.0,-0.19999999999999996,39,10.0,Low
2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,2,2,1.2,1.2,1.4,1.2,1.4,1.6,1.0,1.3333333333333333,1.0,1.5,1.0,1.5999999999999999,0.20000000000000018,40,11.11111111111111,Low
2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1.4,1.0,1.2,1.4,1.2,1.4,1.3333333333333333,1.6666666666666667,1.5,1.5,2.0,2.3333333333333335,0.19999999999999996,38,8.88888888888889,Low
1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1.2,1.4,1.2,1.2,1.4,1.0,1.0,1.3333333333333333,1.0,2.0,1.0,1.5999999999999999,-0.3999999999999999,37,7.777777777777778,Low
2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,2,1,1.8,1.4,1.2,1.2,1.4,1.6,1.3333333333333333,1.6666666666666667,1.5,1.5,2.0,3.0,0.20000000000000018,43,14.444444444444443,Low
1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.0,1.4,1.4,1.0,1.2,1.0,1.0,1.6666666666666667,1.0,1.0,1.0,1.6666666666666667,-0.19999999999999996,35,5.555555555555555,Low
1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2,1.4,1.0,1.2,1.6,1.2,1.4,1.6666666666666667,1.3333333333333333,2.0,1.5,3.3333333333333335,1.8666666666666665,0.19999999999999996,39,10.0,Low
2,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1.4,1.2,1.4,1.2,1.0,1.0,1.3333333333333333,1.6666666666666667,1.5,1.0,2.0,2.3333333333333335,0.0,36,6.666666666666667,Low
1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1.8,1.4,1.6,1.6,1.4,1.2,1.3333333333333333,1.3333333333333333,1.5,1.5,2.0,2.4,-0.19999999999999996,45,16.666666666666664,Low
1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1.6,1.0,1.2,1.6,1.6,1.2,1.3333333333333333,1.0,1.0,1.5,1.3333333333333333,1.6,-0.40000000000000013,41,12.222222222222221,Low
1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1.4,1.2,1.2,1.0,1.2,1.4,1.0,1.0,1.0,1.5,1.0,1.4,0.19999999999999996,37,7.777777777777778,Low
2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1.4,1.4,1.2,1.8,1.0,1.2,1.3333333333333333,1.3333333333333333,1.0,1.5,1.3333333333333333,1.8666666666666665,0.19999999999999996,40,11.11111111111111,Low
4,2,3,4,3,3,2,4,2,2,4,4,3,4,3,3,3,4,2,3,2,2,4,2,2,4,3,2,4,2,3.2,2.6,3.6,3.0,2.4,3.0,3.0,3.0,3.5,4.0,10.5,9.600000000000001,0.6000000000000001,89,65.55555555555556,Medium
2,3,2,4,2,3,3,4,3,2,3,4,3,3,3,4,3,3,2,4,3,4,3,3,3,2,2,2,4,4,2.6,3.0,3.2,3.2,3.2,2.8,2.3333333333333335,2.6666666666666665,2.5,3.0,5.833333333333334,6.933333333333334,-0.40000000000000036,90,66.66666666666666,High
2,4,3,3,3,2,4,2,4,3,2,4,4,3,2,2,2,3,2,3,3,3,4,2,2,3,3,2,3,2,3.0,3.0,3.0,2.4,2.8,2.6,2.3333333333333335,2.6666666666666665,2.5,3.5,5.833333333333334,8.0,-0.19999999999999973,84,60.0,Medium
4,3,2,3,2,2,3,4,2,2,2,4,4,3,4,3,3,4,3,4,3,4,4,3,2,3,4,2,3,3,2.8,2.6,3.4,3.4,3.2,3.0,2.3333333333333335,3.6666666666666665,2.0,4.0,4.666666666666667,10.266666666666666,-0.20000000000000018,92,68.88888888888889,High
3,2,4,3,3,3,3,3,4,4,3,2,4,2,4,3,4,3,4,3,3,3,3,2,3,2,2,3,2,4,3.0,3.4,3.0,3.4,2.8,2.6,3.6666666666666665,3.0,3.5,3.0,12.833333333333332,9.0,-0.19999999999999973,91,67.77777777777779,High
3,2,3,3,3,2,4,4,2,3,2,2,2,3,2,3,2,4,2,2,4,3,3,2,4,3,2,4,3,3,2.8,3.0,2.2,2.6,3.2,3.0,2.3333333333333335,2.3333333333333335,2.5,3.5,5.833333333333334,6.533333333333333,-0.20000000000000018,84,60.0,Medium
4,4,4,4,2,4,3,3,2,3,3,4,3,2,4,4,2,4,4,2,4,2,2,3,3,4,4,2,4,2,3.6,3.0,3.2,3.2,2.8,3.2,3.6666666666666665,3.3333333333333335,3.5,3.0,12.833333333333332,12.0,0.40000000000000036,95,72.22222222222221,High
2,4,2,3,4,3,4,2,4,3,2,4,4,4,3,3,4,2,2,3,2,3,4,3,3,4,2,3,3,4,3.0,3.2,3.4,2.8,3.0,3.2,2.0,3.0,2.0,3.0,4.0,9.0,0.20000000000000018,93,70.0,High
2,3,4,3,4,2,2,2,2,3,3,2,2,2,3,2,2,2,4,2,4,4,2,4,2,3,3,3,3,4,3.2,2.2,2.4,2.4,3.2,3.2,3.6666666666666665,2.6666666666666665,3.5,2.0,12.833333333333332,8.533333333333333,0.0,83,58.88888888888889,Medium
2,2,2,3,3,2,3,2,2,2,2,2,2,2,3,2,2,3,3,3,2,4,4,3,4,3,2,4,2,4,2.4,2.2,2.2,2.6,3.4,3.0,2.3333333333333335,2.3333333333333335,2.0,3.5,4.666666666666667,5.6000000000000005,-0.3999999999999999,79,54.44444444444444,Medium
2,4,2,2,4,2,2,2,4,4,2,2,4,4,2,2,2,3,4,3,4,4,4,4,4,4,4,3,2,2,2.8,2.8,2.8,2.8,4.0,3.0,2.6666666666666665,3.3333333333333335,2.0,3.5,5.333333333333333,9.333333333333334,-1.0,91,67.77777777777779,High
3,3,3,3,4,2,4,2,2,3,4,3,4,2,3,3,2,2,2,3,4,3,4,3,3,2,4,3,3,2,3.2,2.6,3.2,2.4,3.4,2.8,3.0,3.3333333333333335,3.5,3.0,10.5,10.666666666666668,-0.6000000000000001,88,64.44444444444444,Medium
2,4,3,4,3,4,2,3,4,2,2,4,3,3,2,3,3,3,2,4,3,2,2,4,3,3,4,4,2,2,3.2,3.0,2.8,3.0,2.8,3.0,2.3333333333333335,3.0,2.5,2.5,5.833333333333334,9.600000000000001,0.20000000000000018,89,65.55555555555556,Medium
4,3,2,2,3,2,3,3,3,4,4,4,3,3,4,2,3,2,2,3,3,2,2,4,4,3,4,4,4,4,2.8,3.0,3.6,2.4,3.0,3.8,2.6666666666666665,3.6666666666666665,3.0,2.0,8.0,10.266666666666666,0.7999999999999998,93,70.0,High
